Time Step,Simulated Decay,Theoretical Decay
208,957,961.1238675103193
209,956,960.9406615690169
210,956,960.7574905497657
211,955,960.5743544459091
212,955,960.3912532507916
213,955,960.2081869577589
214,955,960.025155560158
215,955,959.8421590513377
216,954,959.6591974246472
217,954,959.4762706734376
218,954,959.2933787910611
219,954,959.110521770871
220,952,958.927699606222
221,952,958.7449122904701
222,952,958.5621598169724
223,952,958.3794421790877
224,952,958.1967593701756
225,952,958.0141113835972
226,952,957.8314982127147
227,952,957.6489198508915
228,952,957.4663762914927
229,951,957.2838675278842
230,951,957.1013935534335
231,951,956.9189543615092
232,951,956.7365499454811
233,951,956.5541802987204
234,951,956.3718454145995
235,951,956.189545286492
236,951,956.007279907773
237,951,955.8250492718184
238,951,955.642853372006
239,951,955.4606922017143
240,951,955.2785657543236
241,951,955.0964740232146
242,951,954.9144170017703
243,951,954.7323946833742
244,950,954.5504070614115
245,950,954.3684541292685
246,950,954.1865358803324
247,950,954.0046523079924
248,950,953.8228034056384
249,950,953.6409891666618
250,950,953.4592095844553
251,950,953.2774646524125
252,950,953.0957543639287
253,949,952.9140787124002
254,949,952.7324376912246
255,949,952.5508312938009
256,949,952.3692595135292
257,949,952.1877223438106
258,948,952.0062197780484
259,948,951.8247518096459
260,948,951.6433184320086
261,948,951.461919638543
262,948,951.2805554226566
263,948,951.0992257777583
264,946,950.9179306972585
265,946,950.7366701745685
266,946,950.5554442031013
267,945,950.3742527762704
268,945,950.1930958874915
269,945,950.0119735301806
270,945,949.8308856977559
271,945,949.6498323836362
272,944,949.4688135812416
273,944,949.2878292839939
274,944,949.1068794853157
275,944,948.9259641786309
276,944,948.7450833573649
277,944,948.5642370149442
278,944,948.3834251447965
279,944,948.2026477403509
280,944,948.0219047950377
281,944,947.8411963022884
282,944,947.6605222555355
283,944,947.4798826482134
284,943,947.2992774737575
285,943,947.1187067256038
286,943,946.9381703971904
287,942,946.7576684819564
288,942,946.577200973342
289,942,946.3967678647886
290,941,946.2163691497392
291,941,946.0360048216378
292,941,945.8556748739294
293,941,945.675379300061
294,941,945.49511809348
295,940,945.3148912476357
296,940,945.1346987559781
297,940,944.954540611959
298,940,944.7744168090311
299,939,944.5943273406484
300,939,944.414272200266
301,938,944.2342513813408
302,938,944.0542648773303
303,938,943.8743126816935
304,938,943.6943947878907
305,938,943.5145111893836
306,938,943.3346618796347
307,938,943.1548468521081
308,938,942.9750661002691
309,938,942.7953196175841
310,938,942.6156073975209
311,938,942.4359294335485
312,938,942.256285719137
313,938,942.0766762477581
314,938,941.8971010128843
315,938,941.7175600079896
316,938,941.5380532265492
317,938,941.3585806620397
318,938,941.1791423079387
319,938,940.9997381577252
320,938,940.8203682048792
321,938,940.6410324428822
322,937,940.4617308652169
323,937,940.2824634653673
324,937,940.1032302368184
325,937,939.9240311730566
326,937,939.7448662675696
327,937,939.5657355138462
328,937,939.3866389053767
329,936,939.2075764356522
330,936,939.0285480981654
331,936,938.8495538864103
332,936,938.6705937938816
333,936,938.491667814076
334,936,938.312775940491
335,936,938.1339181666251
336,936,937.9550944859785
337,936,937.7763048920526
338,935,937.5975493783499
339,935,937.418827938374
340,935,937.2401405656299
341,935,937.0614872536239
342,935,936.8828679958635
343,934,936.7042827858573
344,934,936.5257316171154
345,932,936.3472144831488
346,932,936.1687313774701
347,932,935.9902822935927
348,932,935.8118672250317
349,931,935.6334861653032
350,931,935.4551391079244
351,931,935.276826046414
352,931,935.0985469742919
353,930,934.9203018850792
354,929,934.7420907722981
355,927,934.563913629472
356,927,934.385770450126
357,927,934.2076612277856
358,927,934.0295859559786
359,927,933.8515446282332
360,927,933.6735372380792
361,926,933.4955637790474
362,926,933.31762424467
363,926,933.1397186284805
364,926,932.9618469240136
365,926,932.7840091248049
366,925,932.6062052243917
367,925,932.4284352163124
368,925,932.2506990941064
369,925,932.0729968513147
370,925,931.895328481479
371,925,931.7176939781428
372,925,931.5400933348507
373,924,931.3625265451481
374,924,931.1849936025822
375,923,931.007494500701
376,923,930.830029233054
377,923,930.652597793192
378,923,930.4752001746667
379,923,930.2978363710312
380,922,930.1205063758398
381,922,929.943210182648
382,921,929.7659477850128
383,921,929.5887191764922
384,920,929.4115243506453
385,920,929.2343633010325
386,920,929.0572360212158
387,920,928.8801425047579
388,919,928.7030827452229
389,919,928.5260567361764
390,919,928.3490644711848
391,919,928.1721059438161
392,919,927.9951811476391
393,919,927.8182900762243
394,918,927.6414327231431
395,918,927.4646090819683
396,918,927.287819146274
397,918,927.1110629096352
398,918,926.9343403656283
399,918,926.7576515078308
400,918,926.5809963298219
401,918,926.4043748251814
402,918,926.2277869874908
403,917,926.0512328103326
404,917,925.8747122872904
405,917,925.6982254119494
406,917,925.5217721778954
407,917,925.3453525787163
408,917,925.1689666080006
409,917,924.9926142593379
410,917,924.8162955263195
411,917,924.6400104025378
412,916,924.463758881586
413,916,924.2875409570593
414,915,924.1113566225533
415,915,923.9352058716653
416,915,923.7590886979939
417,915,923.5830050951384
418,915,923.4069550567
419,915,923.2309385762804
420,915,923.0549556474833
421,915,922.879006263913
422,915,922.703090419175
423,915,922.5272081068767
424,915,922.3513593206261
425,915,922.1755440540323
426,915,921.9997623007064
427,915,921.8240140542598
428,915,921.6482993083057
429,915,921.4726180564584
430,915,921.2969702923335
431,915,921.1213560095474
432,915,920.9457752017181
433,914,920.7702278624647
434,914,920.5947139854078
435,914,920.4192335641686
436,914,920.2437865923702
437,914,920.0683730636363
438,914,919.8929929715922
439,914,919.7176463098646
440,914,919.5423330720805
441,914,919.3670532518695
442,914,919.1918068428611
443,914,919.0165938386868
444,914,918.8414142329791
445,914,918.6662680193717
446,914,918.4911551914995
447,913,918.3160757429986
448,913,918.1410296675064
449,912,917.9660169586613
450,912,917.7910376101033
451,912,917.6160916154734
452,912,917.4411789684135
453,912,917.2662996625672
454,912,917.0914536915792
